                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.60036,                0.60434,                 1.0012,                0.87637,                0.77303,                0.86215,                0.70988,                0.90151,                 0.9303,                 1.1723,               0.001012,               0.001012,               0.001012
                     93,                0.61249,                0.51464,                  1.005,                0.90546,                 0.8395,                0.90421,                0.74441,                0.90001,                0.82034,                 1.1912,              0.0010109,              0.0010109,              0.0010109
                     94,                0.69077,                0.60971,                 1.0839,                0.78862,                0.83117,                0.87752,                0.69621,                0.93123,                0.85624,                 1.1868,              0.0010098,              0.0010098,              0.0010098
                     95,                 0.6171,                0.57298,                 1.0203,                0.82878,                0.83636,                 0.8879,                0.71132,                0.95822,                 0.9473,                 1.2218,              0.0010087,              0.0010087,              0.0010087
                     96,                0.56892,                0.51682,                 0.9861,                 0.8997,                0.76514,                0.87565,                0.68921,                0.97035,                0.89088,                 1.2166,              0.0010076,              0.0010076,              0.0010076
                     97,                0.62789,                0.63225,                  1.029,                0.86569,                0.79604,                0.86801,                0.69569,                0.95444,                0.93236,                  1.215,              0.0010065,              0.0010065,              0.0010065
                     98,                0.62369,                0.57797,                 1.0077,                0.85581,                0.84021,                0.90287,                0.74189,                0.89303,                0.80123,                 1.1915,              0.0010054,              0.0010054,              0.0010054
                     99,                0.59517,                0.70219,                 1.0118,                 0.8449,                0.86075,                0.88283,                 0.7206,                0.93364,                0.92674,                 1.2071,              0.0010043,              0.0010043,              0.0010043
                    100,                 0.6277,                0.55756,                  1.029,                0.87036,                0.80195,                0.87816,                0.72916,                 0.9638,                0.87399,                 1.2361,              0.0010032,              0.0010032,              0.0010032
                    101,                0.60782,                0.53945,                 1.0129,                0.80046,                0.86125,                0.89436,                0.73575,                0.91843,                0.89875,                 1.1912,              0.0010021,              0.0010021,              0.0010021
                    102,                0.58776,                0.52633,                 1.0031,                0.88766,                0.84036,                  0.907,                   0.75,                0.88439,                0.76557,                 1.1758,               0.001001,               0.001001,               0.001001
                    103,                0.56015,                0.50376,                0.98487,                0.81118,                0.87681,                0.89556,                0.75546,                0.87662,                0.76779,                 1.1679,             0.00099991,             0.00099991,             0.00099991
                    104,                0.59676,                0.51514,                 1.0036,                0.84151,                0.79948,                0.85714,                0.70156,                0.95349,                0.91094,                 1.2123,             0.00099881,             0.00099881,             0.00099881
                    105,                0.60996,                0.52644,                 1.0004,                0.86388,                0.80127,                0.86986,                0.71597,                0.94784,                 0.8815,                 1.1889,             0.00099771,             0.00099771,             0.00099771
                    106,                 0.5851,                0.61798,                 1.0121,                0.88638,                0.81783,                0.89867,                0.74125,                 0.8963,                0.78176,                 1.1778,             0.00099661,             0.00099661,             0.00099661
                    107,                0.58369,                0.52702,                0.99721,                0.85257,                0.88229,                0.91307,                0.75997,                 0.9168,                0.79858,                 1.1815,             0.00099551,             0.00099551,             0.00099551
